Company,ESG_Score,E_Score,S_Score,G_Score,Year,PDF_URL
Bureau Veritas SA,83,82,91,72,2024,https://www.nestle.com/sites/default/files/2024-02/bureau-veritas-independent-assurance-statement-2023.pdf
Absa Group Ltd,62,77,76,38,2024,https://www.absa.africa/wp-content/uploads/2025/04/Absa-Group-Limited-Sustainability-and-Climate-Report.pdf
Northern Star Resources Ltd,71,49,78,93,2024,https://www.nsrltd.com/media/bzpltmkl/fy24-esr-suite-esr-approach.pdf
Singapore Airlines Ltd,69,74,68,64,2024,https://www.singaporeair.com/content/dam/sia/web-assets/pdfs/about-us/information-for-investors/annual-report/sustainabilityreport2425.pdf
Hong Kong and China Gas Co Ltd,72,69,81,61,2024,https://storage.towngas.com/static-site/ESG/ESG-Report-2024/towngas-esgr2024-full-en.pdf
First Steamship Co Ltd,49,15,48,79,2023,https://cslships.com/wp-content/uploads/2024/07/CSL-Group-Sustainability-Report-2023_EN.pdf
Standard Bank Group Ltd,64,87,84,27,2023,https://www.standardbank.com/static_file/StandardBankGroup/filedownloads/RTS/2023/SBG_SustainabilityDisclosuresReport2023.pdf
Londonmetric Property PLC,47,59,57,25,2024,https://www.londonmetric.com/sites/london-metric/files/2024-07/responsible-business-report-2024.pdf
Japan Airport Terminal Co Ltd,58,61,43,78,2024,https://www.tokyo-airport-bldg.co.jp/files/en/ir/all_view_en.pdf
China Jinmao Holdings Group Ltd,69,84,86,35,2024,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042402674.pdf
Korea Investment Holdings Co Ltd,56,76,47,58,2023,https://www.chevron.com/-/media/shared-media/documents/chevron-sustainability-report-2023.pdf
National Bank of Greece SA,83,63,82,91,2023,https://www.nbg.gr/-/jssmedia/Files/Group/esg/ESG_Annual_Reports/nbg-esg-report-2022-en.pdf
